"STATE","CITY","LAT","LON","NAME"
"AL","Troy",31.810953,-85.951993,"TroyPike Center For Technology"
"AL","Troy",31.806302,-85.972906,"Pike County Alternative Learning Center"
"AL","Wedowee",33.311588,-85.478044,"Randolph County High School"
"AL","Woodland",33.373704,-85.39296,"Woodland High School"
"AL","Wedowee",33.2977,-85.4818,"RandolphRoanoke Career Technology Center"
"AL","Roanoke",33.149524,-85.372051,"Handley High School"
"AL","Wedowee",33.2977,-85.4819,"RandolphRoanoke Career Technology Center"
"AL","Seale",32.316973,-85.169675,"Alternative Learning Center"
"AL","Seale",32.33355,-85.149941,"Russell County High School"
"AL","Russellville",34.524949,-87.739349,"Russellville High School"
"AL","Russellville",34.524949,-87.739349,"Russellville City Career Tech"
"AL","Scottsboro",34.6728,-86.0027,"Scottsboro High School"
"AL","Selma",32.428416,-87.022637,"Selma High School"
"AL","Selma",32.428942,-87.023827,"Saints Virtual Academy"
"AL","Sheffield",34.7693,-87.6903,"Sheffield High School"
"AL","Calera",33.092001,-86.767236,"Calera High"
"AL","Chelsea",33.333645,-86.680505,"Chelsea High School"
"AL","Columbiana",33.1793,-86.6001,"Shelby County High School"
"AL","Montevallo",33.1039,-86.8604,"Montevallo High School"
"AL","Vincent",33.383227,-86.414454,"Vincent Middle High School"
"AL","Birmingham",33.3665,-86.7342,"Oak Mountain High School"
"AL","Columbiana",33.178093,-86.630883,"Career Technical Education Center"
"AL","Columbiana",33.178093,-86.630883,"New Direction"
"AL","Helena",33.276126,-86.869538,"Helena High School"
"AL","Ashville",33.783196,-86.276151,"Eden Area Technical Center"
"AL","Ashville",33.818935,-86.26686,"Ashville High School"
"AL","Odenville",33.703272,-86.370328,"Saint Clair County High School"
"AL","Springville",33.784436,-86.438805,"Springville High School"
"AL","Moody",33.6111,-86.4599,"Moody High School"
"AL","Livingston",32.613088,-88.184794,"BellBrown Career Technical Center"
"AL","York",32.55001,-88.229327,"Sumter Central High School"
"AL","Sylacauga",33.1768,-86.2514,"Sylacauga High School"
"AL","Talladega",33.423001,-86.077443,"Talladega High School"
